Source,Disease,Omics Method,Omics Method Detail,Site,Sub Group,PCGP,PCGPdetails
Human,Ependymoma,,,ST,,SJEPDxxxx91,SJEPDxxxx91_D1
Human,Ependymoma,,,PF,,,
Human,Ependymoma,,,PF,,,
Human,Ependymoma,,,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,Methylation,450k,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,WGBS,,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,WGS,,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,WGS,,PF,PFA-1,SJEPDxx4,SJEPDxx4_G
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,SJEPDxx4,SJEPDxx4_D
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA1,SJEPDxxxx23,SJEPDxxxx23_D1
Human,Ependymoma,WES,,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_D1
Human,Ependymoma,WES,,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_G1
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_D1
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_D1
Human,Ependymoma,Methylation,450k,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_R1
Human,Ependymoma,WES,,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_R1
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,SJEPDxxxx23,SJEPDxxxx23_R1
Human,Ependymoma,RNAseq,,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,,,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,RNAseq,,PF,PFA-1,,
Human,Ependymoma,,,,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,RNAseq,,PF,PFA-2,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,PFA-3,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-2,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,PFA-1,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGBS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,ST,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,RNAseq,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGBS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,RNAseq,TotalRNAseq,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,,,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,PFA-1,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,PFA-1,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,PFA-1,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,,
Human,Ependymoma,WGBS,,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,,,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WES,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-2,,
Human,Ependymoma,RNAseq,,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WGBS,,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WES,,ST,,,
